구분,평균,평년
2005-01-03,"154,000","140,733"
2005-01-04,"154,000","140,933"
2005-01-05,"154,000","141,033"
2005-01-06,"154,000","141,170"
2005-01-07,"154,000","141,440"
2005-01-10,"154,000","142,400"
2005-01-11,"152,000","142,867"
2005-01-12,"152,000","143,183"
2005-01-13,"152,000","143,467"
2005-01-14,"152,000","143,933"
2005-01-17,"150,000","146,120"
2005-01-18,"150,000","146,827"
2005-01-19,"150,000","147,383"
2005-01-20,"150,000","147,533"
2005-01-21,"150,000","147,933"
2005-01-24,"148,000","148,733"
2005-01-25,"148,000","149,267"
2005-01-26,"148,000","149,467"
2005-01-27,"148,000","149,733"
2005-01-28,"148,000","150,200"
2005-01-31,"149,000","151,067"
2005-02-01,"149,000","151,067"
2005-02-02,"149,000","151,133"
2005-02-03,"149,000","151,200"
2005-02-04,"149,000","151,367"
2005-02-07,"149,000","152,000"
2005-02-11,"149,000","152,467"
2005-02-14,"148,000","152,667"
2005-02-15,"147,000","152,400"
2005-02-16,"147,000","152,233"
2005-02-17,"147,000","152,000"
2005-02-18,"147,000","151,600"
2005-02-21,"147,000","151,067"
2005-02-22,"147,000","151,067"
2005-02-23,"147,000","151,067"
2005-02-24,"147,000","151,333"
2005-02-25,"147,000","151,533"
2005-02-28,"147,000","152,200"
2005-03-02,"147,000","152,150"
2005-03-03,"147,000","152,200"
2005-03-04,"147,000","152,267"
2005-03-07,"147,000","152,600"
2005-03-08,"147,000","152,667"
2005-03-09,"147,000","152,733"
2005-03-10,"147,000","152,733"
2005-03-11,"147,000","152,733"
2005-03-14,"147,000","153,333"
2005-03-15,"147,000","153,533"
2005-03-16,"147,000","153,733"
2005-03-17,"147,000","154,000"
2005-03-18,"147,000","154,467"
2005-03-21,"147,000","156,400"
2005-03-22,"147,000","156,867"
2005-03-23,"147,000","157,067"
2005-03-24,"147,000","157,133"
2005-03-25,"147,000","157,267"
2005-03-28,"147,000","158,333"
2005-03-29,"147,000","158,733"
2005-03-30,"147,000","159,067"
2005-03-31,"149,000","159,133"
2005-04-01,"149,000","159,267"
2005-04-04,"149,000","159,533"
2005-04-05,"149,000","159,567"
2005-04-06,"149,000","159,567"
2005-04-07,"149,000","159,667"
2005-04-08,"149,000","159,733"
2005-04-11,"149,000","159,520"
2005-04-12,"149,000","159,307"
2005-04-13,"149,000","159,200"
2005-04-14,"149,000","159,093"
2005-04-15,"149,000","159,080"
2005-04-18,"149,000","159,467"
2005-04-19,"149,000","159,667"
2005-04-20,"149,000","159,667"
2005-04-21,"149,000","159,800"
2005-04-22,"149,000","159,933"
2005-04-25,"148,000","160,333"
2005-04-26,"148,000","160,333"
2005-04-27,"148,000","160,333"
2005-04-28,"148,000","160,333"
2005-04-29,"148,000","160,333"
2005-05-02,"148,000","160,333"
2005-05-03,"148,000","160,333"
2005-05-04,"148,000","160,333"
2005-05-05,"148,000","160,333"
2005-05-06,"148,000","160,333"
2005-05-09,"148,000","160,800"
2005-05-10,"148,000","161,000"
2005-05-11,"148,000","161,200"
2005-05-12,"148,000","161,400"
2005-05-13,"148,000","161,533"
2005-05-16,"148,000","161,667"
2005-05-17,"148,000","161,667"
2005-05-18,"148,000","161,667"
2005-05-19,"148,000","161,667"
2005-05-20,"148,000","161,667"
2005-05-23,"148,000","161,667"
2005-05-24,"148,000","161,600"
2005-05-25,"148,000","161,533"
2005-05-26,"148,000","161,467"
2005-05-27,"147,000","161,400"
2005-05-30,"147,000","161,333"
2005-05-31,"146,000","161,333"
2005-06-01,"145,000","161,333"
2005-06-02,"145,000","161,333"
2005-06-03,"145,000","161,333"
2005-06-07,"145,000","161,067"
2005-06-08,"145,000","160,800"
2005-06-09,"145,000","160,533"
2005-06-10,"144,000","160,267"
2005-06-13,"144,000","159,833"
2005-06-14,"144,000","159,733"
2005-06-15,"144,000","159,600"
2005-06-16,"144,000","159,200"
2005-06-17,"144,000","158,800"
2005-06-20,"144,000","157,667"
2005-06-21,"144,000","157,600"
2005-06-22,"144,000","157,467"
2005-06-23,"144,000","157,200"
2005-06-24,"144,000","157,067"
2005-06-27,"144,000","156,667"
2005-06-28,"144,000","156,667"
2005-06-29,"144,000","156,667"
2005-06-30,"144,000","156,533"
2005-07-01,"144,000","156,400"
2005-07-04,"144,000","155,833"
2005-07-05,"144,000","155,600"
2005-07-06,"142,000","155,133"
2005-07-07,"142,000","154,600"
2005-07-08,"142,000","154,000"
2005-07-11,"141,000","153,467"
2005-07-12,"139,000","153,333"
2005-07-13,"137,000","153,467"
2005-07-14,"137,000","153,600"
2005-07-15,"137,000","153,733"
2005-07-18,"137,000","154,000"
2005-07-19,"137,000","154,000"
2005-07-20,"137,000","153,867"
2005-07-21,"137,000","153,867"
2005-07-22,"136,000","153,867"
2005-07-25,"136,000","153,833"
2005-07-26,"136,000","153,667"
2005-07-27,"134,000","153,533"
2005-07-28,"133,000","153,200"
2005-07-29,"132,000","152,867"
2005-07-30,"132,000","152,583"
2005-08-01,"132,000","152,333"
2005-08-02,"132,000","152,200"
2005-08-03,"131,000","151,933"
2005-08-04,"130,000","151,667"
2005-08-05,"130,000","151,400"
2005-08-08,"130,000","150,917"
2005-08-09,"130,000","150,867"
2005-08-10,"130,000","150,800"
2005-08-11,"130,000","150,733"
2005-08-12,"130,000","150,667"
2005-08-15,"130,000","150,133"
2005-08-16,"130,000","149,400"
2005-08-17,"129,000","148,600"
2005-08-18,"129,000","147,800"
2005-08-19,"129,000","147,200"
2005-08-20,"129,000","146,733"
2005-08-22,"129,000","146,667"
2005-08-23,"129,000","146,600"
2005-08-24,"129,000","146,533"
2005-08-25,"129,000","146,467"
2005-08-26,"129,000","146,333"
2005-08-29,"129,000","145,950"
2005-08-30,"129,000","145,733"
2005-08-31,"129,000","145,467"
2005-09-01,"129,000","145,200"
2005-09-02,"130,000","145,000"
2005-09-05,"130,000","144,867"
2005-09-06,"130,000","144,733"
2005-09-07,"130,000","144,600"
2005-09-08,"130,000","144,467"
2005-09-09,"130,000","144,333"
2005-09-10,"130,000","144,333"
2005-09-12,"129,000","144,333"
2005-09-13,"129,000","144,333"
2005-09-14,"129,000","144,333"
2005-09-15,"129,000","144,267"
2005-09-16,"129,000","144,067"
2005-09-20,"129,000","143,133"
2005-09-21,"129,000","143,000"
2005-09-22,"129,000","143,067"
2005-09-23,"129,000","143,233"
2005-09-26,"129,000","143,667"
2005-09-27,"129,000","143,667"
2005-09-28,"129,000","143,667"
2005-09-29,"129,000","143,667"
2005-09-30,"129,000","143,667"
2005-10-04,"129,000","143,533"
2005-10-05,"129,000","143,400"
2005-10-06,"129,000","143,400"
2005-10-07,"129,000","143,300"
2005-10-10,"129,000","143,533"
2005-10-11,"129,000","143,667"
2005-10-12,"131,000","143,667"
2005-10-13,"131,000","143,667"
2005-10-14,"131,000","143,800"
2005-10-15,"131,000","143,833"
2005-10-17,"133,000","143,933"
2005-10-18,"133,000","144,067"
2005-10-19,"133,000","144,200"
2005-10-20,"133,000","144,333"
2005-10-21,"133,000","144,667"
2005-10-24,"133,000","145,667"
2005-10-25,"133,000","146,200"
2005-10-26,"133,000","146,800"
2005-10-27,"133,000","147,200"
2005-10-28,"135,000","147,600"
2005-10-31,"135,000","148,033"
2005-11-01,"135,000","148,067"
2005-11-02,"135,000","148,267"
2005-11-03,"135,000","148,467"
2005-11-04,"135,000","148,400"
2005-11-05,"135,000","148,333"
2005-11-07,"137,000","148,333"
2005-11-08,"137,000","148,333"
2005-11-09,"139,000","148,400"
2005-11-10,"141,000","148,467"
2005-11-11,"141,000","148,600"
2005-11-14,"141,000","148,700"
2005-11-15,"144,000","148,667"
2005-11-16,"144,000","148,800"
2005-11-17,"146,000","148,867"
2005-11-18,"146,000","149,067"
2005-11-21,"146,000","149,500"
2005-11-22,"146,000","149,600"
2005-11-23,"149,000","149,733"
2005-11-24,"149,000","149,667"
2005-11-25,"149,000","149,400"
2005-11-28,"151,000","148,233"
2005-11-29,"151,000","147,533"
2005-11-30,"151,000","147,067"
2005-12-02,"151,000","146,067"
2005-12-05,"151,000","144,950"
2005-12-06,"150,000","144,333"
2005-12-07,"150,000","143,733"
2005-12-08,"150,000","143,267"
2005-12-09,"150,000","143,000"
2005-12-10,"150,000","143,000"
2005-12-12,"150,000","142,867"
2005-12-13,"150,000","142,667"
2005-12-14,"150,000","142,400"
2005-12-15,"150,000","142,067"
2005-12-16,"150,000","141,867"
2005-12-19,"150,000","141,817"
2005-12-20,"150,000","141,867"
2005-12-21,"150,000","142,200"
2005-12-22,"150,000","142,267"
2005-12-23,"150,000","142,133"
2005-12-26,"150,000","141,833"
2005-12-27,"149,000","141,573"
2005-12-28,"149,000","141,280"
2005-12-29,"149,000","140,900"
2005-12-30,"149,000","140,520"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
